images,mask
images/pc_1_YY1216100920_frame0058.png,labels/pc_1_YY1216100920_frame0058.png
images/pc_1_YY1216100920_frame0060.png,labels/pc_1_YY1216100920_frame0060.png
images/pc_1_YY1216100920_frame0061.png,labels/pc_1_YY1216100920_frame0061.png
images/pc_1_YY1216100920_frame0062.png,labels/pc_1_YY1216100920_frame0062.png
images/pc_1_YY1216100920_frame0063.png,labels/pc_1_YY1216100920_frame0063.png
images/pc_1_YY1216100920_frame0064.png,labels/pc_1_YY1216100920_frame0064.png
images/pc_1_YY1216100920_frame0066.png,labels/pc_1_YY1216100920_frame0066.png
images/pc_1_YY1216100920_frame0068.png,labels/pc_1_YY1216100920_frame0068.png
images/pc_1_YY1216100920_frame0069.png,labels/pc_1_YY1216100920_frame0069.png
images/pc_1_YY1216100920_frame0070.png,labels/pc_1_YY1216100920_frame0070.png
images/pc_1_YY1216100920_frame0071.png,labels/pc_1_YY1216100920_frame0071.png
images/pc_1_YY1216100920_frame0072.png,labels/pc_1_YY1216100920_frame0072.png
images/pc_1_YY1216100920_frame0074.png,labels/pc_1_YY1216100920_frame0074.png
images/pc_1_YY1216100920_frame0075.png,labels/pc_1_YY1216100920_frame0075.png
images/pc_1_YY1216100920_frame0078.png,labels/pc_1_YY1216100920_frame0078.png
images/pc_1_YY1216100920_frame0079.png,labels/pc_1_YY1216100920_frame0079.png
images/pc_1_YY1216100920_frame0081.png,labels/pc_1_YY1216100920_frame0081.png
images/pc_1_YY1216100920_frame0082.png,labels/pc_1_YY1216100920_frame0082.png
images/pc_1_YY1216100920_frame0083.png,labels/pc_1_YY1216100920_frame0083.png
images/pc_1_YY1216100920_frame0084.png,labels/pc_1_YY1216100920_frame0084.png
images/pc_1_YY1216100920_frame0085.png,labels/pc_1_YY1216100920_frame0085.png
images/pc_1_YY1216100920_frame0086.png,labels/pc_1_YY1216100920_frame0086.png
images/pc_1_YY1216100920_frame0088.png,labels/pc_1_YY1216100920_frame0088.png
images/pc_1_YY1216100920_frame0089.png,labels/pc_1_YY1216100920_frame0089.png
images/pc_1_YY1216100920_frame0091.png,labels/pc_1_YY1216100920_frame0091.png
images/pc_1_YY1216100920_frame0092.png,labels/pc_1_YY1216100920_frame0092.png
images/pc_1_YY1216100920_frame0096.png,labels/pc_1_YY1216100920_frame0096.png
images/pc_1_YY1216100920_frame0097.png,labels/pc_1_YY1216100920_frame0097.png
images/pc_1_YY1216100920_frame0098.png,labels/pc_1_YY1216100920_frame0098.png
images/pc_1_YY1216103114_frame0001.png,labels/pc_1_YY1216103114_frame0001.png
images/pc_1_YY1216103114_frame0004.png,labels/pc_1_YY1216103114_frame0004.png
images/pc_1_YY1216103114_frame0006.png,labels/pc_1_YY1216103114_frame0006.png
images/pc_1_YY1216103114_frame0073.png,labels/pc_1_YY1216103114_frame0073.png
images/pc_1_YY1216103114_frame0074.png,labels/pc_1_YY1216103114_frame0074.png
images/pc_1_YY1216103114_frame0076.png,labels/pc_1_YY1216103114_frame0076.png
images/pc_1_YY1216103114_frame0077.png,labels/pc_1_YY1216103114_frame0077.png
images/pc_1_YY1216103114_frame0080.png,labels/pc_1_YY1216103114_frame0080.png
images/pc_1_YY1216103114_frame0082.png,labels/pc_1_YY1216103114_frame0082.png
images/pc_1_YY1216103114_frame0083.png,labels/pc_1_YY1216103114_frame0083.png
