Dataset caricato: 646 immagini con maschere corrispondenti
Divisione dataset: 451 train, 65 validation, 130 test
Some weights of SegformerForSemanticSegmentation were not initialized from the model checkpoint at nvidia/segformer-b0-finetuned-ade-512-512 and are newly initialized because the shapes did not match:
- decode_head.classifier.bias: found shape torch.Size([150]) in the checkpoint and torch.Size([5]) in the model instantiated
- decode_head.classifier.weight: found shape torch.Size([150, 256, 1, 1]) in the checkpoint and torch.Size([5, 256, 1, 1]) in the model instantiated
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/inside-tech/Desktop/image_segmentation/.venv/lib/python3.12/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Epoch 1/50 [Train]: 100%|██████████| 57/57 [00:09<00:00,  5.93it/s, loss=0.858, IoU=0, Dice=0]
Validation: 100%|██████████| 9/9 [00:01<00:00,  6.17it/s, loss=0.7, IoU=0, Dice=0]  
Epoch 1/50 - Train Loss: 1.2404, IoU: 0.0000, Dice: 0.0000 | Val Loss: 0.6752, IoU: 0.0000, Dice: 0.0000
Epoch 2/50 [Train]: 100%|██████████| 57/57 [00:09<00:00,  6.06it/s, loss=0.408, IoU=0, Dice=0]
Validation: 100%|██████████| 9/9 [00:01<00:00,  5.56it/s, loss=0.35, IoU=0, Dice=0] 
Epoch 2/50 - Train Loss: 0.5811, IoU: 0.0000, Dice: 0.0000 | Val Loss: 0.3387, IoU: 0.0000, Dice: 0.0000
Epoch 3/50 [Train]: 100%|██████████| 57/57 [00:10<00:00,  5.65it/s, loss=0.237, IoU=0, Dice=0]
Validation: 100%|██████████| 9/9 [00:01<00:00,  5.54it/s, loss=0.162, IoU=0, Dice=0]
Epoch 3/50 - Train Loss: 0.2896, IoU: 0.0000, Dice: 0.0000 | Val Loss: 0.1507, IoU: 0.0000, Dice: 0.0000
Epoch 4/50 [Train]: 100%|██████████| 57/57 [00:10<00:00,  5.63it/s, loss=0.121, IoU=0, Dice=0]
Validation: 100%|██████████| 9/9 [00:01<00:00,  5.34it/s, loss=0.106, IoU=0, Dice=0] 
